subject,class_year,section,theme,subtheme,lesson_link,article_link,homework_link,subtheme_number,umit_id,section_id,theme_id,subtheme_id,speaker_id,course_id,product_id,Месяц 1,month_1,Месяц 2,month_2,Месяц 3,month_3,Месяц 4,month_4,Месяц полугодовой,month_p,Порядок раздела (ГОДОВОЙ),theme_complexity,subtheme_complexity,subtheme_goal_threshold,Порядок тем в разделе (полугодовой),Порядок подтем в теме (подугодовой),На какие баллы (полугодовой)
mat,3,"Арифметика, арифметические выражения",Действия с числами,Действия с числами,https://umschool.net/lessons/access/7wEy88ohoY82PRkeKQuSg5CzDPAHgHNsvfiRAhk1V75zdGRt7Vr21p2,,,20,"1,30,31,32,33,34",212,1028,2110,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,1,10,1,40,,,
mat,3,"Арифметика, арифметические выражения",Дроби,Действия с дробями,https://umschool.net/lessons/access/CjyAjuw0BilFtSPcojqJdPMVa9EjMoMHvuDHQcFi48jxaSAb2oBMrNa,,,15,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,53,54,55,56,57,58,59,60",212,1029,2111,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,1,10,1,40,,,
mat,3,"Арифметика, арифметические выражения",Процент числа,Процент числа,https://umschool.net/lessons/access/Jlos7iUTcBzgcnabospPgpIpZCGEOmEViAoDN3p7WHXWPqg2QcXxoA3,,,14,"35,36,37,39,40",212,1030,2112,1,,"3561,3603,6797,3901,3943,6966",oct,"3561,3603,6797",feb,"3901,3943,6966",,,,,,,1,10,1,40,,,
mat,3,"Арифметика, арифметические выражения",Формулы сокращенного умножения,Формулы сокращенного умножения,https://umschool.net/lessons/access/lgCQmnY0BgQJ9UW8MhsqGmTBVtoypsuCCW4GOvBVSOQNP2joMwYuEgi,,,19,41,212,1031,2113,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,1,1,5,40,,,
mat,3,"Арифметика, арифметические выражения",Действия с одночленами и многочленами,Действия с одночленами и многочленами,https://umschool.net/lessons/access/b7kQEu689wcDPS4Ze0Z9aTpfM0w7WqeDjkkZXzfYIaK116yc2lht6WO,,,46,"42,43,44,45,46,47,48,49,50,51,52",212,1032,2114,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,1,10,1,40,,,
mat,3,"Степени, корни",Степень числа,Степень числа,https://umschool.net/lessons/access/bSg129zqjWTxbKfJHl0flFO1t5mQKAFsDGipHtn6TDpMeoQLhRSt4Be,,,78,"101,102,103,104,105,106,108,109,110,111,112",213,1033,2115,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,1,1,91,40,,,
mat,3,"Степени, корни",Квадратный корень,Квадратный корень,https://umschool.net/lessons/access/2gc0qTy63Ze8Wu53BZ9pkgQ8arR64O9lc80BXbkQITOBwbi1MhwGarv,,,22,"114,115,116,117,118,119,120",213,1035,2117,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,1,1,89,40,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Дробно-рациональные уравнения,Дробно-рациональные уравнения,https://umschool.net/lessons/access/kJq1qOaVW8UgOQW8UsVEU38lxKP0xEK1vGx6umEuXLRGFzxgaxvO6tf,,,48,207,214,1039,2121,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,3,1,1,61,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Иррациональные уравнения,Иррациональные уравнения,https://umschool.net/lessons/access/wtK3QXgx9s1zxMUN7T8te1fhQHMglL08yOxNphzNnWxR2T9OYipa334,,,18,208,214,1040,2122,1,,"3645,3687,6839,4153,4195,7087",nov,"3645,3687,6839",may,"4153,4195,7087",,,,,,,3,1,1,61,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Уравнения с модулем,Уравнения с модулем,https://umschool.net/lessons/access/hfcUPGEJiffHgCvqDQfBkYjmR17W7f9zW9YIKVZRudVVDNutHZrHLht,,,16,209,214,1041,2123,1,,"3645,3687,6839,4153,4195,7087",nov,"3645,3687,6839",may,"4153,4195,7087",,,,,,,3,1,98,61,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",ОДЗ уравнений,Область допустимых значений (ОДЗ),https://umschool.net/lessons/access/BnmZhpopwNZQM07P7SArWhjVnOxxJpqlS50DIqor3mnUHeJ9E1L7wR8,,,49,210,214,1042,2124,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,3,1,3,61,,,
mat,3,Тригонометрия,Тригонометрические выражения и формулы,Дополнительные формулы тригонометрии,https://umschool.net/lessons/access/wK6aDsN4MR7Ac4dPxJiuUY2aty4ir1U9hDYfATM9sdLU9FFM2hvnE95,,,1,"512,514,515,516",217,1064,2166,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,4,1,13,40,,,
mat,3,Планиметрия,Введение в планиметрию,Введение в планиметрию,https://umschool.net/lessons/access/1OP7r3juQTrViNIkG8ZsMlANnWOWEZiAxzT7W1oylbV9Pw21t9RNLla,,,1,"601,602,604,605,606,607,608,609,620,621,622,623,633,634",218,1067,2174,1,,"3645,3687,6839,3985,4027,7005",nov,"3645,3687,6839",mar,"3985,4027,7005",,,,,,,9,1,64,40,,,
mat,3,Стереометрия,Основы стереометрии,Основы стереометрии,https://umschool.net/lessons/access/XPa6F2LhOCEs11GB4HW6qHabBS53dJvUbnc0FWrTUr4YsSOdSitm1A5,,,1,801,219,1074,2192,1,,"3645,3687,6839,3813,3855,6924",nov,"3645,3687,6839",jan,"3813,3855,6924",,,,,,,6,1,51,40,,,
mat,3,"Теория вероятностей, комбинаторика, статистика",Комбинаторика,Комбинаторика,https://umschool.net/lessons/access/1ioSY98SHOYdRYTQC0A6Uaj5gPRfnGqVDoF2bURDOIF68WGEVLpnYs5,,,1,930,220,1079,2205,1,,"3561,3603,6797,4069,4111,7050",oct,"3561,3603,6797",apr,"4069,4111,7050",,,,,,,8,1,1,40,,,
mat,3,Текстовые задачи,Движение по воде,Задачи на движение по воде,https://umschool.net/lessons/access/WpW8tqRRkaRZWp6UIF1WvIEi8o14PS8lfjuT6fFhiQ4VY6uCRxC2o9p,,,1,1007,221,1083,2211,1,,"3477,3519,6756,4069,4111,7050",sep,"3477,3519,6756",apr,"4069,4111,7050",,,,,,,5,1,23,40,,,
mat,3,Текстовые задачи,"Проценты, смеси и сплавы",Задачи на проценты,https://umschool.net/lessons/access/cBSBne3AZlPhf2feeRep771511STWN6m6SgzjQQ3K64guHCb1oXRNz0,,,1,1009,221,1085,2213,1,,"3561,3603,6797,4069,4111,7050",oct,"3561,3603,6797",apr,"4069,4111,7050",,,,,,,5,1,28,40,,,
mat,3,"Финансовая математика, задача с параметром, числа и их свойства",Задачи с параметром,Параметр как переменная,https://umschool.net/lessons/access/xylHOu14xcdTyOWoZAPBtswgNQCBneSZg3e78RxwnmIs3E3Xctyimlx,,,1,1125,222,1104,2234,1,,"3985,4027,7005,3985,4027,7005",mar,"3985,4027,7005",mar,"3985,4027,7005",,,,,,,2,1,7,81,,,
mat,3,"Степени, корни","Корень n-ой степени, рациональная степень числа","Корень n-ой степени, рациональная степень числа",https://umschool.net/lessons/access/AxZclRO5OlEBcMttLrkXS2OkQdMwvDBykQytrb7ZxwuFAttluQnzK6z,,,49,"107,113,121,122",213,1034,2238,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,1,1,90,40,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Квадратные уравнения,Теорема Виета,https://umschool.net/lessons/access/cy6q2xN9vhFiqkbVE4zfv8RrF5MDIfDGYwGRcHzcIWX0FVMeJDfIkAf,,,17,"204,22",214,1037,2241,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,3,1,1,40,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Иррациональные неравенства,Иррациональные неравенства,https://umschool.net/lessons/access/QuzxVtImyBHamoN77aOgeRv02sTWKUnRU80jJNI9zCOShJsdNovi3rd,,,42,225,214,1110,3965,1,,"3645,3687,6839,3985,4027,7005",nov,"3645,3687,6839",mar,"3985,4027,7005",,,,,,,3,1,92,61,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Неравенства с модулем,Неравенства с модулем,https://umschool.net/lessons/access/Eb0iLWrudo6nBT9TSPaUriPLnN0vl3Z0vpABfZTi0ndDx0c5faijVpC,,,82,226,214,1111,2252,1,,"3645,3687,6839,3985,4027,7005",nov,"3645,3687,6839",mar,"3985,4027,7005",,,,,,,3,1,94,61,,,
mat,3,Планиметрия,Треугольники. Основы,Прямоугольный треугольник,https://umschool.net/lessons/access/Ud78K1DjRij8PvqgmnzI0rBkNyMV7vLPZEgZ690pyrrIhhRLZAkYb6n,,,1,"629,630,651,652,659,660,661",218,1068,2296,1,,"3645,3687,6839,3985,4027,7005",nov,"3645,3687,6839",mar,"3985,4027,7005",,,,,,,9,1,73,40,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Линейные уравнения,"Линейные уравнения, ФСУ, дискриминант",https://umschool.net/lessons/access/X5PAczdRNH46dNA02rDU80TJKn88OtkrRszGVfJi7sHwELDCy1rWI8Y,,,79,"201,202,203,205",214,1036,2330,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,3,1,1,40,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Кубические уравнения,Теорема Безу,https://umschool.net/lessons/access/5S9VSZ1X5ZoJGgn9BYnl13sMthig7rZ2mHU1P10NjSOk2XveG9hqGnM,,,51,"206,221",214,1038,2331,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,3,1,1,40,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Смешанные уравнения,Смешанное уравнение,https://umschool.net/lessons/access/P4xPNXBQPnWzQlrQ59BY0oxgdCZISr3hZSiDdy3zj46Jf0qQdMv0clR,,,50,215,214,1044,2332,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,3,1,97,61,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Метод введения новой переменной,Логарифмические и показательные уравнения второй части,https://umschool.net/lessons/access/wyJ12nT7y0HuHVWCnsYOJshrjMiCB03OOKhu6mJk4T7FUGbXxHoqNnM,,,79,217,214,1046,2334,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,3,1,9,61,,,
mat,3,"Уравнения, системы уравнений, неравенства, системы неравенств",Однородные уравнения,Однородное уравнение,https://umschool.net/lessons/access/K0vZdgnQzXesARz39z1UR8Etc6mBuHUdUZCNsGYqz4rOw5gedmBCrgQ,,,39,218,214,1109,2335,1,,"3477,3519,6756,3901,3943,6966",sep,"3477,3519,6756",feb,"3901,3943,6966",,,,,,,3,1,3,61,,,
