subject,class_year,section,theme,subtheme,lesson_link,homework_link,subtheme_number,umit_id,section_id,theme_id,subtheme_id,speaker_id,course_id,mgmonth_id,subtheme_umits,hw_umits,hw_ids,les_id
ang,3,Грамматика,Части речи в английском языке,Существительные множественного числа,https://umschool.net/lessons/access/s07dlHOG3b3Cj1feF66O4iq4Bgw0GpoUigkmDTUNyxQmGYZn2uvY2G9,,1,"1,28",3,14,17,15,,"3465,3507,6746","1,28","1,28","210754,210756,210758,210759,210761,210763,210764,210766,210767,210769,210771,210772,210777,210778,210781,210783,210785,210788,210790,210791,210793,210795,210797,210798,210799,210800,210801,210803,210805,210806,210808,210809,210810,210811,210812,210814,210815,210817,210819,210821,210823,210825,210827,210828,210829,210830,210831,210832,210834,210838,210839,210841,210843,210845",30627
ang,3,Грамматика,Артикли,Артикли,https://umschool.net/lessons/access/p2FK7ksBOf9J1ls7plhgl6KI2jJTjgsFzSHZkVu4ARfUiowwIDicoTK,,,"3,4",3,15,19,15,,"3465,3507,6746","3,4","3,4,5,93","173011,173012,173013,173014,173015,173016,173017,173018,173019,173020,173021,173022,173024,173025,173026,173027,173028,173029,173030,173031,173032,173033,173034,173035,173036,173037,173038,173040,173041,173042",47683
ang,3,Грамматика,Части речи в английском языке,Предлоги времени,https://umschool.net/lessons/access/BXSJ5wR7FCQJIwSNxpfpscHEaceN7Jzvvsxrat6kbhGSjLb6D7o37d8,,27,6,3,14,20,15,,"3465,3507,6746",6,6,"210529,210530,210533,210535,210702,210705,210708,210711,210714,210718,210722,210724,210727,210728,210729,210730,210731,210732,210733,210734,210737,210740,210743,210745,210749,210751,210753,210757,210760,210762,210765,210768,210770,210773,210774,210775,210776",30622
ang,3,Грамматика,Части речи в английском языке,Предлоги места,https://umschool.net/lessons/access/ohDEucxqbyeqae0ZamOFi7u6eGHuI9Y0hew9CFsN5ehYYIDa90sBiSS,,17,"7,9",3,14,21,15,,"3465,3507,6746","7,9","6,7,9,12,270","209296,209300,209303,209307,209313,209315,209319,209337,209350,209352,209353,209354,209355,209358,209359,209360,209361,209362,209363,209364,209365,209366,209367,209368,209369,209370,209371,209372,209373,209374,209375,209376,209385,209386,209391,209394,209397,209398,209400,209401,209404,209406,209408",30623
ang,3,Грамматика,Грамматические конструкции,Предложение с начальным it,https://umschool.net/lessons/access/U2Re4knctMlwVZRrrqjsb1TgjIBQF6hjlxlegia9Oe5yQaUq33CirtG,,,74,3,25,38,15,,"3465,3507,6746",74,"10,74","261652,261654,261658,261662,261664,261665,261669,261671,261673,261677",39758
ang,3,Времена,"Грамматика времени ""Present Simple""","Грамматика времени ""Present Simple""",https://umschool.net/lessons/access/gp1EvRvOi9BVPGW25M2xVB7NhkI0EUwAUdm4WAq9LzUHPUJG8SLpKKx,,7,"101,102,103,104,105,106",4,26,43,15,,"3465,3507,6746","101,102,103,104,105,106","101,102,104,106","185421,185423,185425,185429,185430,185431,185433,185436,185437,185439",39738
ang,3,Времена,"Грамматика времени ""Present Continuous""","Грамматика времени ""Present Continuous""",https://umschool.net/lessons/access/ZAYRX1wMrQAbmox0i76oCCSzOYgsjv1bNw91suzTbWO56K1QXLntejR,,9,"107,108,109,110,111,112,113",4,27,44,15,,"3465,3507,6746","107,108,109,110,111,112,113","44,60,101,102,107,108,109,110,111,155","186179,186181,186186,186193,186205,186210,186214,186234,186240,186246,186249,186258,186262,186265,186273,186276,186278,186285,186287,186333,186355,186367,186373,186382,186388,186392,186398,186400,186403,186405,186408,186411,186414,186417,186419,186422,186426,186429,186431",39735
ang,3,Времена,"Грамматика времени ""Past Simple""","Грамматика времени ""Past Simple""",https://umschool.net/lessons/access/ALB3ioBtBgoqmCDMyIpTgyTS3p51pTr82T0Xml3JaT4Q3DgKTQrj8cW,,11,"114,115,116,117,118,119",4,28,45,15,,"3465,3507,6746","114,115,116,117,118,119","57,114,115,116,117,118,119","192099,192104,192107,192111,192113,192116,192118,192120,192122,192124,192126,192127,192128,192129,192130,192131,192133,192135,192136,192137,192139,192141,192143,192144,192146,192149,192150,192152,192154,192155",39734
ang,3,Времена,"Грамматика времени ""Past Continuous""","Грамматика времени ""Past Continuous""",https://umschool.net/lessons/access/7kXn02Oz0VBGp8YznWfA6HxmI5CDpZGvuPaOx4iuHgfvSP3rIB9Pqmi,,8,"120,121,122,123",4,29,46,15,,"3465,3507,6746","120,121,122,123","27,107,111,114,120,121,122,123,220,221,222","186801,186808,186813,186830,186842,186848,186854,186862,186868,186874,186885,186892,186902,186912,186919,187041,187054,187071,187087,187101,187105,187109,187123,187130,187147,187149,187153,187158,187169,187173,187178,187184,187188",47687
ang,3,Времена,"Грамматика времени ""Future Simple""","Грамматика времени ""Future Simple""",https://umschool.net/lessons/access/CZdvoGR0ZsbTz70lNF2iHicWBs8920RMQUwrKd85TPMEceav1ThoxBN,,10,"133,134,135,136",4,32,49,15,,"3465,3507,6746","133,134,135,136","133,134,135,136","177132,177134,177136,177142,177143,177144,177146,177148,177151,177154,177155,177161,177163,177167,177171,177180,177182,177185,177188,177190,177192,177200,177204,177207,177209,177212,177214,177223,177225,177227",47686
