,Грамматика,Unnamed: 1,Времена,Unnamed: 3,Лексика,Unnamed: 5,Чтение,Unnamed: 7,Аудирование,Unnamed: 9,Письмо,Unnamed: 11,Говорение,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,Исчисляемые и неисчисляемые существительные,1.0,Утвердительные предложения в Present Simple,101.0,Фразовый глагол keep,201,"Понимание основного содержания
текста",301.0,"Понимание основного содержания
прослушанного текста",401.0,Письмо личного характера,501.0,Буквенные сочетания и их произношения,601.0,Структура экзамена,901.0
1,Количественные числительные,2.0,Отрицательные предложения в Present Simple,102.0,Устойчивые выражения с местоимениями,202,"Понимание структурно-
смысловых связей в тексте",302.0,"Понимание запрашиваемой
информации в прослушанном
тексте",402.0,Письменное высказывание с элементами рассуждения по предложенной проблеме,502.0,Чтение дат,602.0,,
2,Употребление артикля a,3.0,Окончания -s/-es глаголов,103.0,Вводные слова,203,"Полное и точное понимание
информации в тексте",303.0,"Полное понимание
прослушанного текста",403.0,,,Чтение годов,603.0,,
3,Употребление артикля the,4.0, Вопросительные предложения в Present Simple,104.0,Устойчивые выражения с to do,204,Выборочное понимание нужной информации,304.0,Определение темы звучащего текста,404.0,,,Чтение текста вслух,604.0,,
4,Употребление нулевого артикля,5.0,Слова-маркеры Present Simple,105.0,Устойчивые выражения с to make,205,Выборочное понимание интересующей информации,305.0,,,,,Формулирование вопросов,605.0,,
5,Предлоги времени,6.0,Глагол to be в Present Simple,106.0,Лексика по теме “Семья”,206,,,,,,,Ответ на вопросы,606.0,,
6,Предлоги места,7.0,Утвердительные предложения в Present Continuous,107.0,"Лексика ""Disliking""",207,,,,,,,Описание фотографий для проекта,607.0,,
7,Порядковые числительные,8.0,Отрицательные предложения в Present Continuous,108.0,Употребление few and little,208,,,,,,,Монолог,608.0,,
8,Предлоги с транспортом,9.0,Окончаниe -ing глаголов,109.0,"Лексика ""Desiring""",209,,,,,,,Правила интонирования,609.0,,
9,"Оборот ""There + to be""",10.0, Вопросительные предложения в Present Continuous,110.0,Употребление so,210,,,,,,,Чтение числительных,610.0,,
10,Passive voice,11.0,Слова-маркеры Present Continuous,111.0,Употребление such,211,,,,,,,,,,
11,Предлоги by и with в Passive Voice,12.0,Статичные глаголы,112.0,"Употребление other, others и another",212,,,,,,,,,,
12,Личные местоимения,13.0,Глаголы с разным значением в Simple и Continuous,113.0,Фразовые глаголы со stand,213,,,,,,,,,,
13,Притяжательные местоимения,14.0,Глагол to be в Past Simple,114.0,Фразовый глагол turn,214,,,,,,,,,,
14,Возвратные местоимения,15.0,Утвердительные предложения в Past Simple,115.0,Фразовый глагол set,215,,,,,,,,,,
15,Указательные местоимения,16.0,Отрицательные предложения в Past Simple,116.0,Фразовый глагол get,216,,,,,,,,,,
16,Взаимные местоимения,17.0,Окончаниe -ed глаголов,117.0,"Лексика ""Болезни""",217,,,,,,,,,,
17,Вопросительные местоимения,18.0, Вопросительные предложения в Past Simple,118.0,Фразовый глагол take,218,,,,,,,,,,
18,Количественные местоимения,19.0,Слова-маркеры Past Simple,119.0,"Употребление look, see and watch",219,,,,,,,,,,
19,Местоимение one / ones,20.0,Утвердительные предложения в Past Continuous,120.0,Употребление hear and listen,220,,,,,,,,,,
20,Неопределенные местоимения,21.0,Отрицательные предложения в Past Continuous,121.0,"Лексика ""Holidays""",221,,,,,,,,,,
21,Общий вопрос,22.0, Вопросительные предложения в Past Continuous,122.0,Словообразование существительных,222,,,,,,,,,,
22,Специальный вопрос,23.0,Слова-маркеры Past Continuous,123.0,Словообразование глаголов,223,,,,,,,,,,
