, Кинематика,Unnamed: 1,Динамика,Unnamed: 3,"Статика, гидростатика",Unnamed: 5,Законы сохранения,Unnamed: 7,Механические колебания и волны,Unnamed: 9,Молекулярная физика и термодинамика,Unnamed: 11,Электростатика,Unnamed: 13,Законы постоянного тока,Unnamed: 15,Магнитное поле,Unnamed: 17,Электромагнитные колебания и волны,Unnamed: 19,Оптика,Unnamed: 21,"Квантовая физика, ядерная физика, СТО",Unnamed: 23,Навыки и умения,Unnamed: 25
0,"Траектория, путь, перемещение тела",3.0,Масса. Инертность. Формула массы через плотность и объем,101.0,Момент силы относительно  точки или оси вращения,202.0,"Импульс тела и системы тел по определению, изменение импульса",301.0,"Амплитуда, период, частота, циклическая частота, фаза колебаний, их связи",402.0,"Агрегатные состояния вещества. Модели строения газов, жидкостей и твёрдых тел",501,"Виды зарядов, элементарный заряд, закон сохранения заряда",602.0,"Постоянный электрический ток, сила тока по модулю и направлению",703.0,Магниты. Правило взаимодействия постоянных магнитов,801.0,Свободные электромагнитные колебания. Колебательный контур,901.0,Тень. Полутень ,1002.0,"Характеристики фотона, его скорость, длина волны, частота, энергия, импульс",1102.0,Перевод величин в СИ,1201.0
1,Проекции векторных величин на заданные оси,5.0,Равнодействующая сила. Принцип суперпозиции сил,103.0,"Вращение тела вокруг оси, правило моментов",204.0,Закон сохранения импульса для тела или системы тел,303.0,"Уравнения колебаний координаты, скорости, ускорения, связь через производные",405.0,"Взаимодействие молекул, броуновское движение, диффузия",503,Точечные заряды. Закон Кулона,604.0,Электрическое сопротивление. Зависимость сопротивления однородного проводника от его длины и сечения. Удельное электрическое сопротивление,706.0,"Магнитное поле, его силовые линии, магнитная индукция",803.0,"Уравнения, описывающие колебания в колебательном контуре и их связь",902.0,Закон отражения света,1003.0,"Запирающее напряжение, формула связи с кинетической энергией",1104.0,"Определять характер физического процесса по графику, таблице, формуле",1202.0
2,"Относительность траектории, перемещения, скорости",7.0,Второй закон Ньютона.,106.0,"Погружение тела в среду, сила Архимеда",207.0,"Второй закон Ньютона в импульсном виде, импульс силы",304.0,Динамическое описание колебаний,407.0,Тепловое равновесие. Равенство температуры системы при тепловом равновесии,506,Электрическое поле. Его действие на электрические заряды.Электрическая сила,605.0,Источники тока. Сторонние силы. ЭДС и внутреннее сопротивление источника тока,707.0,Принцип суперпозиции магнитных полей,804.0,"Графики колебаний заряда, тока, напряжения, энергий от времени",903.0,Плоское зеркало. Построение изображений в плоском зеркале,1004.0,Сила тока насыщения. Ее зависимость от интенсивности света (1 закон Столетова). График зависимости I(U),1105.0,"Оценивать по формуле, графику  пропорциональность величин",1203.0
3,Равномерное прямолинейное движение. Скорость равномерного движения. Уравнения перемещения и координаты.,8.0,Взаимодействие тел. Третий закон Ньютона,108.0,Условие плавания тела,210.0,Работа силы ,305.0,Превращение энергии при колебаниях. Энергетическое описание (закон сохранения полной механической энергии),408.0,Основное уравнение МКТ,508,Напряжённость электрического поля,606.0,Закон Ома для участка цепи,708.0," Магнитное поле проводника с током, правило правой руки",807.0,Собственная частота колебательного контура. Формула Томсона,904.0,Законы преломления света (закон Снеллиуса),1005.0,Зависимость кинетической энергии от частоты падающего света (2 закон Столетова). График зависимости кинетической энергии от частоты,1106.0,"Снимать показания со шкалы прибора, представлять результаты измерений с учётом их погрешностей",1204.0
4,Средняя путевая скорость,9.0,"Сила трения покоя и скольжения, закон Кулона-Амонтона",109.0,Сообщающиеся сосуды,213.0,Механическая мощность,308.0,"Связь амплитуд координат, скорости, ускорения друг с другом",409.0,Абсолютная температура. Связь шкал Кельвина и Цельсия,509,Однородное и неоднородное поле. Поле между заряженными пластинами. Картины линий этих полей,609.0,"Графики зависимости I(U), I(R), q(t), I(t), наклон графика, площадь под ним",709.0,Взаимодействие параллельных проводников,810.0,Связь периода колебаний энергий и периода колебаний колебательного контура,905.0,Абсолютный и относительный показатель преломления,1006.0,Красная граница фотоэффекта. Условие начала фотоэффекта,1107.0,Уметь находить погрешности прямых и косвенных измерений величин. Записывать результат с учетом погрешности,1205.0
5,Связь перемещения с координатами начальной и конечной точки ,10.0,Независимость силы трения от площади соприкасающихся поверхностей,110.0,"Неподвижный и подвижный блок, системы блоков",214.0,Кинетическая энергия материальной точки,310.0,"Графики гармонических колебаний координаты, скорости, ускорения, силы, энергии",411.0,Связь температуры газа со средней кинетической энергией поступательного теплового движения его частиц,510,Напряжение (разность потенциалов) в однородном и неоднородном электрическом поле,611.0,Закон Ома для полной (замкнутой) электрической цепи,710.0,Сила Лоренца для частицы и сила Ампера для проводника,811.0,Связь амплитуды заряда конденсатора с амплитудой силы тока,906.0,Ход лучей в плоскопараллельной пластине,1008.0,Уравнение Эйнштейна для фотоэффекта,1109.0,"Снимать необходимые данные с графиков, таблиц, диаграмм",1206.0
6,Нахождение расстояния между телами по  разности координат,11.0,"Деформация тела, сила упругости, закон Гука",114.0,"Давление столба жидкости, атмосферное давление",217.0,Теорема о кинетической энергии,311.0,Период колебаний нитяного и пружинного маятника,412.0,"Микропараметры: количество вещества, концентрация, масса молекулы, молярная масса",511,Потенциал электростатического поля,612.0,Короткое замыкание. Сила тока короткого замыкания,711.0,Правило левой руки для проводника с током в магнитном поле,812.0,Закон сохранения энергии в идеальном колебательном контуре,908.0,Полное внутреннее отражение. Предельный угол полного внутреннего отражения,1009.0,Длина волны де Бройля движущейся частицы,1111.0,Объяснять результаты экспериментов по картинке опыта,1207.0
7,График скорости равномерного   движения и его геометрический смысл (нахождение пути по площади фигуры под графиком),12.0,Всемирное тяготение. Закон всемирного тяготения,117.0,Центр тяжести однородного тела,220.0,Потенциальная энергия тела,312.0,Связь частоты (периода) колебаний с частотой (периодом) потенциальной и кинетической энергии,414.0,Связь давления с концентрацией и температурой,512,Принцип суперпозиции электрических полей,614.0,Реостат. Принцип действия реостата,713.0,Правило левой руки для движущейся заряженной частицы,814.0,"Вынужденные электромагнитные колебания, явление резонанса",909.0,"Скорость, длина волны и частота света при переходе из одной среды в другую",1010.0,Опыты Лебедева. Давление света,1113.0,Работа с векторами. Правило параллелограмма (треугольника) при сложении (вычитании) векторов,1208.0
8,"График координаты, перемещения, пути, ускорения при равномерном движении",13.0,Сила тяжести,118.0,,,Энергия. Полная механическая энергия: E = Eк + Eп,314.0,"Вынужденные колебания, резонанс, график амплитуды от частоты",415.0,Уравнение Менделеева-Клапейрона,513,Проводники в электростатическом поле. Электростатическая индукция. Электростатическая защита,616.0,"Чтение электрических схем, знание разных приборов",714.0,Зависимость траектории движения частицы от направления вектора скорости по отношению к магнитным линиям,815.0,Передача и потребление электрической энергии. Трансформатор. Связь числа витков с напряжением (ЭДС) на концах обмоток трансформатора.,911.0,Собирающие и рассеивающие линзы. Тонкая линза,1011.0,Постулаты Бора,1116.0,Цена деления и погрешность приборов. Снятие показаний. Двухшкальные приборы,1209.0
9,Проекция (модуль) скорости по графику координаты,17.0,Ускорение свободного падения на небесных телах,119.0,,,Связь работы силы тяжести с изменением потенциальной энергии,315.0,"Амплитуда и период по таблицам и графикам х(t), V(t), a(t)",418.0,Выражение для внутренней энергии одноатомного идеального газа,515,Диэлектрики в электростатическом поле. Поляризация диэлектриков,618.0,Последовательное и параллельное соединение приборов с сопротивлением,715.0,Законы движения заряженной частицы в электромагнитном поле,817.0,"Определение характеристик цепи по таблицам I(t), для цепи постоянного тока содержащую катушку индуктивности (момент замыкания, размыкания цепи).",912.0,"Фокусное расстояние и оптическая сила тонкой линзы, ее строение",1012.0,Излучение и поглощение фотонов при переходе атома с одного уровня энергии на другой. Энергетические диаграммы,1117.0,Понимание текстов физического содержания. Умение находить ответы на вопросы в тексте,1210.0
