, Источники географической информации,Unnamed: 1, История освоения мира и России,Unnamed: 3,Земля как планета,Unnamed: 5,Литосфера,Unnamed: 7, Атмосфера,Unnamed: 9, Гидросфера,Unnamed: 11,Природопользование и экология,Unnamed: 13,Население мира,Unnamed: 15,Природа материков и крупные страны,Unnamed: 17,География России: географическое положение и геополитика,Unnamed: 19,География России: природа,Unnamed: 21,География России: хозяйство,Unnamed: 23,Методы и навыки.,Unnamed: 25,Биосфера,Unnamed: 27,Мировое хозяйство,Unnamed: 29,География России: районирование,Unnamed: 31,География России: население,Unnamed: 33
0,Глобус,1.0,Великие географические открытия,105.0,Земля — планета Солнечной системы,201.0,Суша Земли,301.0,Атмосфера,401.0,Мировой океан и его части,501.0,"Учение о биосфере, определение",601.0,"Появление человека на Земле. Древняя родина человека, пути его расселения по материкам  ",701.0,Многообразие стран современного мира. Их основные типы,801.0,Территория и акватория  ,901.0,Природные условия и ресурсы,1001,Основная химия,1166.0,Описательный метод,1202.0,"Разнообразие растений, приспособленность к среде обитания",1301.0, Отраслевая структура экономики. Типы отраслевой структуры,1401.0,Географическое и экономическое районирование России,1501.0,Численность населения России,1601.0
1,Географическая карта,2.0,Бартоломеу Диаш,106.0,Солнце и его влияние на Землю,202.0,Внутреннее строение Земли,302.0,Состав воздуха,402.0,Водные объекты Мирового океана,502.0,Высотная поясность,615.0,Динамика численности населения Земли,702.0,Формы правления и административно-территориального устройства,802.0,Площадь территории,902.0,Тектоническое строение территории России,1002,Химия органического синтеза,1167.0,Сравнительно-географический метод,1203.0,"Разнообразие животных, приспособленность к среде обитания",1302.0,Горнодобывающая промышленность,1402.0,"Районы и крупные регионы России, их характеристики и особенности",1502.0,Воспроизводство населения и естественный прирост в России ,1602.0
2,Топографическая карта,3.0,Христофор Колумб,107.0,Смена дня и ночи,203.0,Земная кора ,303.0,Строение атмосферы ,403.0,Суша и части суши,503.0,Классификация энергетических ресурсов,616.0,Динамика численности населения крупных стран мира,703.0,Характерные черты природы Африки,803.0,Особенности  географического положения России,903.0,"Минеральные ресурсы. Основные месторождения рудных, горючих и нерудных ископаемых



",1003,Горная химия,1168.0,Картографический метод,1204.0,Реликтовые и эндемичные виды,1303.0,Электроэнергетика. ,1403.0,Центральный экономический район (Центральная Россия),1503.0,Половой и возрастной состав населения страны,1603.0
3,Масштаб ,5.0,Фернан Магеллан,108.0,"Луна — спутник Земли, их взаимодействие ",204.0,Земная кора материковая,304.0,"Температура воздуха, изменение с высотой",404.0,Объекты суши,504.0,Классификация природных ресурсов ,617.0,Причины и последствия постоянного роста населения Земли,704.0,Особенности крупных стран Африки,804.0,Морские и сухопутные границы России,904.0,Основные месторожнения рудных полезных ископаемых,1004,"Отраслевая структура хозяйства
",1117.0,Статистический метод,1205.0,Почва как особое природное образование,1304.0,"Нефтяная, газовая и угольная промышленность. Страны ОПЕК — основные экспортеры нефти",1404.0,Северо-Запад России (Северо-Западный экономический район),1504.0,Демографическая ситуация в стране. Демографическая политика ,1604.0
4,Градусная сеть,6.0,Виллем Янц,109.0,Форма и размеры Земли,205.0, Земная кора. океаническая   ,305.0,"Атмосферное давление, изменение с высотой",405.0,Океанические течения,505.0,Ресурсообсепеченность,618.0,Воспроизводство населения и его особенности по регионам  мира,705.0,Характерные черты природы Северной Америки,805.0,Граничащие государства,905.0,Основные месторожнения нерудных полезных ископаемых,1005,Факторы размещения предприятий,1118.0,Математический метод,1207.0,Факторы почвообразования,1305.0,"Черная металлургия мира, факторы размещения",1405.0,Европейский Север (Северный экономический район),1505.0,Анализ демографических пирамид,1605.0
5,Параллели,7.0,Дежнёв Семён Иванович,110.0, Вращение Земли вокруг своей оси,206.0,Мантия,306.0,Изменение температуры воздуха с географической широтой,406.0,Изменение температуры поверхностных вод с географической широтой,506.0,Природопользование ,619.0,Демографическая политика,706.0,Особенности крупных стран Северной Америки,806.0,Федеративное устройство России,906.0,Основные месторожнения топливных полезных ископаемых,1006,Природно-ресурсный потенциал России,1119.0,Навык чтения карт ,1211.0,Почвенные горизонты,1306.0,"Цветная металлургия мира, факторы размещения",1406.0,Европейский Юг (Северо-Кавказский экономический район),1506.0,Размещение и плотность населения России. Основная полоса расселения,1606.0
6,Меридианы,8.0,Кук Джеймс,111.0, Движение Земли вокруг Солнца. Смена времен года в обоих полушариях ,207.0,Ядро,307.0,Влажность воздуха (абсолютная и относительная),407.0,Соленость воды,507.0,Рациональное природопользование,620.0,Миграция. Типы миграций в мире,707.0,Характерные черты природы Южной Америки,807.0,Часовые зоны,907.0,Особенности рельефа территории России,1007,Агроклиматические ресурсы,1120.0,Навык выбора инструментов необходимого географического исследования,1214.0,Основные типы почв,1307.0,"Мировое машиностроение, факторы размещения",1407.0,Поволжье (Поволжский экономический район),1507.0,Направления и типы миграций в России,1607.0
7,Азимут,9.0,Фаддей Беллинсгаузен   и Михаил Лазарев ,112.0,Распределение солнечного света и тепла на поверхности Земли,208.0,Минералы,308.0,Солнечная радиация,408.0,Теплообмен океана и суши,508.0,Нерациональное природопользование,621.0,Основные направления миграций в мире,708.0,Особенности крупных стран Южной Америки,808.0,Крайние точки,909.0,"Процессы, формирующие рельеф территории России",1008,Основные ресурсные базы топливных полезных ископаемых,1121.0,Прогнозирование,1215.0,Смена типов почв с географической широтой,1308.0,"Химическая промышленность мира, факторы размещения",1408.0,Волго-Вятской экономический район (Центральная Россия),1508.0,Миграционный прирост населения,1608.0
8,Определение пунктов по координатам (широта и долгота),10.0,Роберт Эдвин Пири,114.0,"Зависимость высоты Солнца над горизонтом от географической широты, формула ",210.0,Горные породы,309.0,"Отраженная солнечная радиация, альбедо",411.0,"Факторы, влияющие на изменение солености воды",509.0,Глобальные экологические проблемы,622.0,Расовый состав населения Земли,709.0,Характерные черты природы Австралии,809.0,Федеральные округа,911.0,Объекты рельефа территории Росии,1009,Основные ресурсные базы руд цветных металлов,1122.0,Навык измерение расстояний по карте с помощью масштаба и градусной сетки,1219.0,"Понятие ""географическая оболочка Земли""",1309.0,"Лесная промышленность мира, факторы размещения",1409.0,Урал (Уральский экономический район),1509.0,Общий прирост населения,1609.0
9,Определение расстояний по карте с применением масштаба,11.0,Амундсен Руаль,115.0,Земная ось ,211.0,Полезные ископаемые,310.0,Суммарная солнечная радиация и ее распределение по поверхности Земли,412.0,Река и её элементы. Речная система,510.0,Влияние промышленности на окружающую среду,623.0,Этнический состав населения Земли,710.0,Австралийский Союз и Океания,810.0,Субъекты федерации и их административные центры,912.0,"Объекты: части суши, прилежащие к территории России (острова, полустрова, архипелаги)",1010,Основные ресурсные базы руд черных металлов,1123.0,Навык решения практических задач по топографическому плану,1220.0,Природный комплекс,1310.0,"Мировое судостроение, факторы размещения",1410.0,Западная Сибирь (Западно-Сибирский экономический район),1510.0,Национальный состав населения России,1610.0
