,Навыки и умения,Unnamed: 1,Кодирование,Unnamed: 3,"Таблицы и графы, динамика",Unnamed: 5,Программирование,Unnamed: 7,Теория игр,Unnamed: 9,Комбинаторика,Unnamed: 11,Алгебра логики,Unnamed: 13,Алгоритмы,Unnamed: 15,Системы счисления,Unnamed: 17,"Файлы и таблицы, презентации",Unnamed: 19
0,Умения выполнять арифметические действия ,1.0,Условие Фано,101.0,Алгоритм Дейкстры,201.0,Переменные ,301,Выигрышная позиция ,401.0,Системы счисления,501.0,Таблицы истинности,601.0,Двоичная сс,701.0,10-тичная система,801.0,Относительная адресация,901.0
1,Умение считать остаток от деления,2.0,Обратное условие Фано,102.0,Работа с таблицами,202.0,Цикл for,302,Проигрышная позиция ,402.0,Факториал,502.0,Операция НЕ,602.0,Инверсия двоичной записи ,702.0,Двоичная сс,802.0,Абсолютная адресация,902.0
2,Умение переводить из 10 в N cc,3.0,Дерево вариантов,103.0,Простые графы,203.0,Генерация диапазона чисел,303,Выигрышные ходы,403.0,Основы комбинаторики,503.0,Операция И,603.0,Четность двоичной записи числа ,703.0,Перевод из 2 сс в 10 сс,803.0,Функция МАКС,903.0
3,Умение переводить из N в 10 сс,4.0,"Пиксели, объем пикселя",104.0,Проходящие графы,204.0,Цикл while ,304,Проигрышные ходы,404.0,Количество всех вариантов,504.0,Операция ИЛИ,604.0,Перевод из 2сс в 10сс,704.0,Перевод из 10сс в 2сс,804.0,Функция МИН,904.0
4,Умение решать задачу динамически ,5.0,Количество цветов изображения ,105.0,Непроходящие графы,205.0,Операторы ветвления if-elif-else,305,Стратегия игры ,405.0,Метод исключения неподходящих вариантов,505.0,Импликация,605.0,Перевод из 10сс в 2сс,705.0,8-ричная сс,805.0,Функция СРЗНАЧ,905.0
5,Умение верно составлять условия для решения по формулировке задачи,6.0,Объем изображения ,106.0,Ориентированные графы,206.0,Арифметические операторы,306,Неудачный ход соперника,406.0,Слова с повторяющимися буквами,506.0,Эквивалентность,606.0,Разряды двоичного числа,706.0,16-ричная сс,806.0,Функция ЕСЛИ,906.0
6,Умение переводить текст на математический язык,7.0,"Перевод от ppi, dpi к количеству пикселей",107.0,Сопоставление графа и таблицы,207.0,"Операторы присваивания, сравнения",307,Выигрышная стратегия,407.0,Слова с неповторяющимися буквами,507.0,Приоритет логических операций ,607.0,ПОКА,707.0,Таблица триад,807.0,Функция ЕСЛИМН,907.0
7,Знание основных математических теорем,8.0,Единицы измерения информации,108.0,Вершины и ребра графа,208.0,Логические операторы,308,Выигрыш за 1 ход,408.0,Перестановка букв в слове,508.0,Логическое выражение,608.0,ЕСЛИ,708.0,Таблица тетрад,808.0,Функция СУММ,908.0
8,Умение находить нестандартные способы решения ,9.0,Кодирование звука,109.0,Неориентированные графы ,209.0,Битовые операторы ,309,Выигрыш за 2 хода,409.0,Перестановка с повторением,509.0,Истинность логического выражения,609.0,ЗАМЕНИТЬ,709.0,Позиционные системы счисления ,809.0,Функция И,909.0
9,Знание условий делимости чисел,10.0,Объем звукового файла,110.0,Степень вершины графа,210.0,Строки ,310,Дерево вариантов,410.0,Перебор вариантов,510.0,Ложность логического выражения ,610.0,Обработка строки ,710.0,Перевод из 10сс в Ncc,810.0,Функция ИЛИ,910.0
10,Умение составления алгоритмов ,11.0,"Моно, стерео, квадро записи",111.0,Дерево ,211.0,Основные строковые функции и методы,311,,,,,Логическое выражение с параметром,611.0,Координатная плоскость,711.0,Перевод из Ncc в 10сс,811.0,Функция СЧЕТ,911.0
11,Умение решать уравнения/неравенства ,12.0,Глубина звука,112.0,Истоки и стоки дерева,212.0,Массивы/списки,312,,,,,Поразрядная конъюнкция ,612.0,Координаты точки на плоскости,712.0,Перевод между 16сс и 8сс,812.0,Функция СЧЕТЕСЛИ,912.0
12,Проверка чисел на простоту ,13.0,Уровни дискретизации ,113.0,Матрица смежности графа,213.0,Сортировка списков,313,,,,,Неотрицательные числа,613.0,Алгоритм ,713.0,"Количество элементов в промежутке, отрезке",813.0,Фильтрация ,913.0
13,Умение пользоваться редактором электронных таблиц,14.0,Степени двойки,114.0,Длина пути ,214.0,Функции и процедуры,314,,,,,Положительные числа,614.0,Исполнители алгоритмов ,714.0,Формула замены вычитания в любой СС,814.0,Сортировка по возрастанию,914.0
14,Умение пользоваться редактором текста ,15.0,Информационный вес одного символа,115.0,"Количество дорог, путей, программ",215.0,Рекурсия,315,,,,,НОД,615.0,Команды исполнителя ,715.0,Вычитание нестепенного числа,815.0,Сортировка по убыванию,915.0
15,Умение построить круговую диаграмму в редакторе таблиц,16.0,Алфавит,116.0,Кратчайший путь ,216.0,Поиск минимального значения ,316,,,,,НОК,616.0,"Логические операции И, ИЛИ, НЕ",716.0,Основная формула в СС,816.0,Сложная сортировка (нескольких столбцов),916.0
16,Умение построить дерево вариантов,17.0,Мощность алфавита,117.0,Проходящая траектория,217.0,Поиск максимального значения ,317,,,,,Формула следования,617.0,Последовательность команд,717.0,Четность различных СС,817.0,Поиск в текстовом редакторе,917.0
17,Умение пользоваться редактором презентаций ,18.0,Объем текстовой информации,118.0,Непроходящая траектория ,218.0,Поиск количества элементов,318,,,,,Закон двойного отрицания,618.0,Арифметические операции,718.0,Разряды чисел в Ncc,818.0,Расширенный поиск,918.0
18,Умение составлять уравнения/неравенства ,19.0,Передача информации,119.0,Формула пересечения связанных событий при раздельном подсчете в динамике ,219.0,Поиск суммы элементов ,319,,,,,Закон Де Моргана,619.0,"Наименьшее, наибольшее числа",719.0,,,Параметры поиска ,919.0
19,Умение пользоваться средой программирования ,20.0,Скорость передачи информации,120.0,Двунаправленные графы,220.0,Работа с файлом ,320,,,,,Законы логики ,620.0,Траектория вычислений,720.0,,,Замена в текстовом редакторе,920.0
20,Умение пользоваться поиском на компьютере ,21.0,Декодирование информации,121.0,Графы с циклами,221.0,Вложенные циклы,321,,,,,Множества,621.0,,,,,Параметры замены,921.0
21,Умение находить информацию в файле ,22.0,16-битные кодировки,122.0,Конкретные функции,222.0,Скобки и приоритет операций в условиях,322,,,,,Пересечение множеств ,622.0,,,,,Функция СУММЕСЛИ,922.0
22,Анализ данных,23.0,Кодировка Unicode,123.0,Методы строк,223.0,Срезы ,323,,,,,Круги Эйлера ,623.0,,,,,Функция СУММЕСЛИМН,923.0
23,Умение перевести алгоритм решения на язык программирования ,24.0,Кодировка UTF-16,124.0,Функций наибольший,224.0,Операции над строками,324,,,,,Объединение множеств ,624.0,,,,,Функция СЧЕТЕСЛИМН,924.0
24,Сортировка данных,25.0,8-битные кодировки,125.0,Функция наименьший,225.0,Типы данных,325,,,,,Отрезки ,625.0,,,,,Неравенство треугольника,925.0
25,Умение пользоваться основными формулами информатики,26.0,Кодировка КОИ-8,126.0,,,Индексация ,326,,,,,Типы множеств,626.0,,,,,Теорема Пифагора ,926.0
26,Умение читать и понимать алгоритм,27.0,Кодировка UTF-8,127.0,,,Поиск длины строки/массива,327,,,,,Подмножества,627.0,,,,,Среднееарифметическое значение,927.0
27,Умение писать функции в редакторе таблиц,28.0,Частота дискретизации ,129.0,,,Замена подстроки новой подстрокой,328,,,,,Разность двух множеств,628.0,,,,,Периметр фигуры ,928.0
28,Умение осуществлять поиск в текстовом редакторе,29.0,Содержательный подход ,130.0,,,Разделение строки/строк на отдельные элементы,329,,,,,Дополнение множеств,629.0,,,,,Объем фигуры ,929.0
29,Знание основных законов алгебры логики,30.0,Растровые изображения,131.0,,,Соединение элементов массива/множества в строку,330,,,,,,,,,,,Диапазон ,930.0
30,Умение построить таблицу истинности логического выражения  ,31.0,Файл и его путь,132.0,,,Поиск индекса элемента строки/массива,331,,,,,,,,,,,Копирование таблицы ,931.0
31,Умение читать и анализировать граф/таблицу,32.0,URL-адрес,134.0,,,Поиск элемента строки/массива,332,,,,,,,,,,,Копирование формулы из ячейки,932.0
32,Умение построить круги Эйлера,33.0,Протокол ,135.0,,,"Проверка, является ли символ цифрой",333,,,,,,,,,,,Расстягивание формулы на множество ячеек,933.0
33,Умение считать факториал ,34.0,Работа с таблицей,136.0,,,"Проверка, является ли символ буквой",334,,,,,,,,,,,Формы слова в русском языке,934.0
34,Умение считать количество пар чисел ,35.0,Символ,137.0,,,Создание массива из существующих элементов строки/строк,335,,,,,,,,,,,Основа слова в русском языке,935.0
35,Умение настраивать фильтрацию в редакторе таблиц ,36.0,Однозначное декодирование,138.0,,,Добавление элемента в массив ,336,,,,,,,,,,,Морфемный разбор слова,936.0
36,Умение измененять шрифт и текст в тектовом редакторе ,37.0,Двоичный код ,139.0,,,Методы удаления элемента из списка,337,,,,,,,,,,,Функция ОСТАТ,937.0
37,Умение находить нужные функции в меню редактора ,38.0,Кодовое слово ,140.0,,,Копирование элемента/массива,338,,,,,,,,,,,Построение круговой диаграммы ,938.0
38,Понимание логических выражений ,39.0,Посимвольное кодирование,141.0,,,Формула количества пар,339,,,,,,,,,,,Расширение файла,939.0
39,Умение считать НОК и НОД,40.0,Равномерный код и неравномерный код,142.0,,,Нетривиальные делители ,340,,,,,,,,,,,Метасимволы и поиск файлов с определённым расширением,940.0
40,Умение построить таблицу/дерево ходов игры ,41.0,Адрес IP,143.0,,,Простые числа,341,,,,,,,,,,,"""*"",""?"" в поиске файлов",941.0
41,Умение писать простой код на ЯП  ,42.0,Глобальная сеть,144.0,,,Модуль itertools,342,,,,,,,,,,,Создание файла электронной таблицы,942.0
42,Умение использовать базовые функции и методы в языке программирования ,43.0,Локальная сеть,145.0,,,Сортировка списка,343,,,,,,,,,,,Создание презентации,943.0
43,Умение добавлять модули в коде программы ,44.0,,,,,Кратность числа ,344,,,,,,,,,,,Параметры слайда,944.0
44,Умение читать условие задачи ,45.0,,,,,Остаток от деления ,345,,,,,,,,,,,Альбомная/книжная ориентации,945.0
45,Умение обрабатывать файл в среде программирования ,46.0,,,,,Модуль числа ,346,,,,,,,,,,,Заголовок слайда,946.0
46,Перевод с помощью таблиц тетрад/триад ,47.0,,,,,Инициализация переменных,347,,,,,,,,,,,Титульный слайд,947.0
47,Умение находить проигрышные/выигрышные позиции,48.0,,,,,Четность чисел ,348,,,,,,,,,,,Типы шрифта и его форматирование,948.0
48,Перевод единиц измерения информации,49.0,,,,,Интервалы чисел ,349,,,,,,,,,,,Размер шрифта ,949.0
49,Умение считать арифметическую прогрессию,50.0,,,,,Операции на списками/массивами,350,,,,,,,,,,,Добавление изображения на слайд,950.0
50,Умение решать пропорции ,51.0,,,,,Натуральные числа,351,,,,,,,,,,,Добавление блока текста на слайд,951.0
51,,,,,,,Вещественные числа,352,,,,,,,,,,,Начертание шрифта,952.0
52,,,,,,,Целые числа,353,,,,,,,,,,,Абзацный отступ ,953.0
53,,,,,,,Положительные числа,354,,,,,,,,,,,Межстрочный интервал ,954.0
54,,,,,,,Отрицательные числа ,355,,,,,,,,,,,Выравнивание текста ,955.0
55,,,,,,,Неотрицательные числа ,356,,,,,,,,,,,Добавление таблицы в текстовый документ ,956.0
56,,,,,,,Неположительные числа,357,,,,,,,,,,,Ширина текста ,957.0
57,,,,,,,Ввод значений с консоли,358,,,,,,,,,,,Ширина таблицы,958.0
58,,,,,,,Вывод значений на консоль,359,,,,,,,,,,,Столбец,959.0
59,,,,,,,Округление переменных по математическим правилам,360,,,,,,,,,,,Строка,960.0
60,,,,,,,Преобразование строки символов числа в число,361,,,,,,,,,,,Надстрочный и нижний индексы,961.0
61,,,,,,,Преобразование числа в строку символов,362,,,,,,,,,,,Добавление специального символа/формулы,963.0
62,,,,,,,Округление в меньшую сторону,363,,,,,,,,,,,Ячейка таблицы,964.0
63,,,,,,,Округление в большую сторону,364,,,,,,,,,,,Сноски ,965.0
64,,,,,,,Произведение элементов ,365,,,,,,,,,,,Аннотация ,966.0
65,,,,,,,Целая часть от деления ,366,,,,,,,,,,,Наличие товара ,967.0
66,,,,,,,Считывание строки из файла ,367,,,,,,,,,,,База данных,968.0
67,,,,,,,Считывание всех строк из файла ,368,,,,,,,,,,,Прибыль,969.0
68,,,,,,,Остаток от деления у отрицательного числа,369,,,,,,,,,,,Выручка,970.0
