,Общество,Unnamed: 1,Человек,Unnamed: 3,Социальная сфера,Unnamed: 5,Политическая сфера,Unnamed: 7,Основы конституционного строя РФ,Unnamed: 9,Право,Unnamed: 11,Экономика,Unnamed: 13,Макроэкономика,Unnamed: 15,Микроэкономика,Unnamed: 17,Духовная сфера,Unnamed: 19,Познание,Unnamed: 21,Навыки и умения,Unnamed: 23
0,Подходы к понятию общества,1.0,Человек - биосоциальное существо,101.0,Структура общества,201,Понятие власти,301.0,Понятие основ конституционного строя,401.0,Право в системе социальных норм,501.0,Экономика как наука,601.0,Понятие экономической системы,701.0,Понятие фирмы,801.0,Сфера духовной жизни,901.0,Понятие истины ,1001.0,Умение составлять сложный план,1101.0
1,Понятия общества в узком смысле,2.0,"Соотношение понятий индивид, индивидуальность, личность",102.0,Дифференциация общества и ее типы,202,Политическая власть и ее структура,302.0,Суверенитет народа,402.0,Право в объективном смысле,502.0,Экономика как хозяйство,602.0,Плановая (командная) экономическая система,702.0,Роль фирм в экономике,802.0,Материальная и духовная культура,902.0,Критерии истины. Практика как критерий истины,1002.0,Раскрывать на примерах теоретические положения,1102.0
2,Понятие общества в широком смысле,3.0,Биологическая природа человека,103.0,Понятие социальной стратификации,203,Политическая деятельность,303.0,Институты прямой демократии: референдум и свободные выборы,403.0,Право в субъективном смысле ,503.0,Уровни экономики: микроэкономика,603.0,Рыночная экономическая система,703.0,Доход фирмы,803.0,Понятие культуры в широком и узком смысле,903.0,Абсолютная истина ,1003.0,"Поиск социальной информации на схемах, диаграммах и таблицах и ее анализ",1103.0
3,Признаки общества как системы,4.0,Социальная природа человека,104.0,"Исторические типы социальной стратификации: рабство, классы, сословия, касты",204,Политическая система и ее подсистемы,304.0,Принципы демократических выборов,404.0,Признаки права,504.0,Уровни экономики: макроэкономика,604.0,Традиционная экономическая система,704.0,Прибыль фирмы,804.0,Мораль,904.0,Относительная истина ,1004.0,Извлекать информацию из неадаптированных оригинальных текстов,1104.0
4,Динамизм общественной системы,5.0,Духовный мир человека,105.0,Социальное неравенство,205,Институциональная подсистема,305.0,Избирательная кампания РФ,405.0,Правовая норма,505.0,Понятие факторов производства,605.0,Смешанная экономическая система,705.0,Издержки фирмы,805.0,Гражданственность,905.0,Объективная истина ,1005.0,Умение объяснять смысл обществоведческих понятий,1105.0
5,Функции общества,6.0,Понятие мировоззрения,106.0,"Критерии социальной стратификации: доход, власть, образование, престиж",206,Коммуникативная подсистема,306.0,Политическая система РФ,406.0,"Структура правовой нормы: гипотеза, диспозиция, санкция",506.0,Доходы на факторы производства,606.0,Функции рынков,706.0,Постоянные издержки,806.0,Патриотизм,906.0,Уровни познания (чувственный и рациональный),1006.0,Анализ ситуации по финансовой грамотности ,1106.0
6,4 подсистемы жизни общества,7.0,Типы мировоззрения,107.0,Престиж и авторитет,207,Нормативная подсистема,307.0,Форма государства РФ,407.0,Виды правовых норм,507.0,Земля как фактор производства,607.0,Виды рынков в зависимости от типа конкуренции,707.0,Переменные издержки,807.0,Гуманизм,907.0,"Формы чувственного познания (ощущение, восприятие, представление)",1007.0,Составление простого плана по прочитанному тексту,1107.0
7,Понятие общественной динамики,8.0,Самосознание индивида,108.0,Понятие социальной мобильности,208,Культурная подсистема,308.0,Республиканская форма правления РФ,408.0,Функции права,508.0,Труд как фактор производства,608.0,Рынок совершенной конкуренции,708.0,Экономические издержки,808.0,Понятие религии,908.0,"Формы рационального познания (понятие, суждение, умозаключение)",1008.0,Описывать социальные объекты по изображениям,1108.0
8,Прогресс,9.0,Формы мировоззрения,109.0,Горизонтальная и вертикальная социальная мобильность,209,Функциональная подсистема,309.0,Демократический политический режим в РФ,409.0,"Система права (отрасли, подотрасли, институты, нормы)",509.0,"Факторы, влияющие на труд как фактор производства",609.0,Олигополия,709.0,Бухгалтерские издержки,809.0,Виды религий,909.0,Особенности социального познания,1009.0,Раскрывать на примерах положения текста,1109.0
9,Регресс,10.0,Понятие деятельности,110.0,Восходящая и нисходящая социальная мобильность,210,Понятие государства,310.0,"Федеративное устройство РФ, типы субъектов в РФ",410.0,Частное и публичное право,510.0,Капитал как фактор производства,610.0,Монополия,710.0,Основные источники финансирования бизнеса,810.0,Мировые религии,910.0,Особенности научного познания,1010.0,"Формулирование и аргументация суждений, связанных с проблематикой текста",1110.0
