,Орфография,Unnamed: 1,Пунктуация,Unnamed: 3,Синтаксис,Unnamed: 5,Грамматика,Unnamed: 7,Орфоэпия и лексика,Unnamed: 9,Морфемика и слоообразование,Unnamed: 11,Изложение,Unnamed: 13,Итоговое собеседование,Unnamed: 15,Работа с текстом,Unnamed: 17,Сочинение,Unnamed: 19,Сочинение ОГЭ,Unnamed: 21
0,Правописание проверяемых гласных в корне слова,2,Запятая при передаче на письме чужой речи (прямая речь),101.0,Виды связи словосочетания. Согласование,202.0,Ошибки в построении предложений с однородными членами,330.0,Общеупотребительная лексика и лексика ограниченного употребления,404.0,Ошибочное словообразование,501.0,Текст. Смысловая и композиционная целостность текста,601.0,Владение всеми видами речевой деятельности (аудирование и чтение),701.0,Антитеза,801.0,Определение проблемы,901.0,Структура сочинения ОГЭ,1001.0
1,Правописание непроверяемых гласных в корне слова,4,"Пунктуация в простом предложении с однородными членами, связанными бессоюзной связью",102.0,Виды связи словосочетания. Управление,203.0,Нарушение в построении предложения с причастным оборотом,331.0,Исконно русская лексика,405.0,Морфема,502.0,Тема,602.0,"Владение разными видами чтения (поисковым, просмотровым, ознакомительным, изучающим) текстов разных стилей и жанров",703.0,Анафора,803.0,Формулирование примеров-иллюстраций из прочитанного текста,902.0,Раскрытие содержания высказывания лингвиста,1002.0
2,"Правописание безударных чередующихся гласных в корне слова, зависящих от суффикса -а-",5,"Пунктуация в простом предложении с однородными членами, связанными повторяющимися союзами, которые обозначают устойчивое выражение",103.0,Виды связи словосочетания. Примыкание,204.0,Нарушение в построении предложения с деепричастным оборотом,332.0,Заимствованная лексика,406.0,Чередования согласных,504.0,Микротема,603.0,Пересказ текста с включением цитаты,707.0,Антонимы (Контекстные антонимы),808.0,Пояснение примеров-иллюстраций,903.0,Раскрытие содержания фрагмента текста,1003.0
3,Правописание неизменяемых приставок,9,"Пунктуация в простом предложении с однородными членами, связанными противительным союзом",104.0,Синонимичные словосочетания,205.0,Нарушение в построении предложения с несогласованным приложением,333.0,Старославянизмы,407.0,Корень,505.0,Приёмы сжатия. Исключение. Замена. Обобщение,604.0,Использование синонимические ресурсы языка для более точного выражения мысли и усиления выразительности речи,719.0,Метафора,809.0,Смысловая связь между примерами-иллюстрациями и её анализ,904.0,Формулирование комментария,1004.0
4,Правописание приставок на -З и -С,10,"Пунктуация в простом предложении с однородными членами, связанными повторяющимися союзами",105.0,Способы выражения подлежащего,206.0,Неправильное построение предложения с косвенной речью,334.0,Лексическое видоизменение фразеологизма,408.0,Словообразующие и формообразующие морфемы,506.0,Основная мысль,605.0,Иметь представление об историческом развитии русского языка и истории русского языкознания,720.0,Эпитет,810.0,Определение авторской позиции,905.0,Раскрытие содержания понятия,1005.0
5,"Гласные в приставках, зависящие от ударения",12,"Пунктуация в простом предложении с однородными членами, связанными двойным союзом",106.0,Способы выражения сказуемого,207.0,Ошибки в построении сложного предложения,335.0,Паронимы,409.0,Приставка,507.0,Разговорный стиль речи,618.0,Проводить самостоятельный поиск текстовой и нетекстовой информации,723.0,Сравнение,811.0,Формулирование и обоснование своей позиции,906.0,,
6,Правописание приставок ПРА- и ПРО-,13,"Пунктуация в простом предложении с однородными членами, соединёнными попарно",107.0,Простое глагольное сказуемое,208.0,Нормативное образование и употребление местоимений,307.0,Плеоназм,416.0,Суффикс,508.0,Повествование,619.0,Отбирать и анализировать полученную информацию,724.0,Метонимия,812.0,Знание структуры итогового сочинения,907.0,,
7,Правописание приставок ПРЕ-/ПРИ-,14,Тире в предложении с однородными членами и обобщающим словом,109.0,Составное глагольное сказуемое,209.0,Неправильное употребление падежной формы существительного,309.0,Тавтология,417.0,Интерфикс,509.0,Интонация. Темп чтения,620.0,Оценивать стилистические ресурсы языка,725.0,Гипербола,813.0,Умение комментировать авторские высказывания на различные темы,908.0,,
8,Гласные Ы/И после приставок,17,Однородные и неоднородные определения,110.0,Составное именное сказуемое,210.0,Нарушение связи между подлежащим и сказуемым,310.0,Этические нормы,420.0,Постфикс,510.0,Виды чтения. Использование различных видов чтения в зависимости от коммуникативной задачи и характера текста,622.0,"Соблюдать культуру чтения, говорения, аудирования и письма",728.0,Литота,814.0,Умение формулировать свою позицию и доказывать её,909.0,,
9,Правописание разделительных Ъ/Ь,19,Знаки препинания при обращении,111.0,Простое предложение,211.0,Нарушение видовременной соотнесённости глагольных форм,311.0,Орфоэпические нормы,423.0,Окончание,511.0,,,Редактировать устные и письменные тексты различных стилей и жанров,739.0,Ирония,815.0,Знание структуры сочинения ЕГЭ,910.0,,
10,"Суффиксы существительных -ОНЬК-, -ЕНЬК-",21,Пунктуация при вводных словах (конструкциях),112.0,Распространённые предложения,212.0,Ошибки в употреблении имени числительного,312.0,Лексическая сочетаемость,424.0,Основа,512.0,,,"Проведение различных видов анализа слова (фонетического, морфемного, словообразовательного, лексического, морфологического)",740.0,Повествование,816.0,,,,
11,Суффиксы существительных -ОК-,25,Знаки препинания при обособленных определениях,113.0,Осложнённые предложения,213.0,Нарушение управления,315.0,Звук и буква,425.0,Сокращение производящей основы,513.0,,,Запятая в предложении с однородными членами (синтаксический анализ),741.0,Описание,817.0,,,,
12,Суффиксы существительных -ИК-/-ЕК-,26,Знаки препинания при обособленных обстоятельствах,115.0,Односоставные предложения,222.0,Первообразные прилагательные,317.0,Фонетическая транскрипция,426.0,Приставочный способ образования,515.0,,,"Иметь представление о роли, значении и функциях русского языка",742.0,Рассуждение,818.0,,,,
13,Суффиксы существительных -ИЦ-/-ЕЦ-,27,Запятая в предложении со сравнительным оборотом,118.0,Назывные предложения,223.0,Производная и производящая основа,318.0,Гласные звуки и гласные буквы,427.0,Суффиксальный способ образования,516.0,,,"Знание качеств, свойств и норм речи",743.0,"Формулировки, обозначающие отношения между предложениями",819.0,,,,
14,Суффикс существительного -К- в сочетаниях -ИНК-/-ЕНК- и суффикс -ИНК-,28,Знаки препинания в ССП,119.0,Определённо-личные предложения,224.0,Морфемный разбор,319.0,Согласные звуки и согласные буквы,428.0,Приставочно-суффиксальный способ образования,517.0,,,Знание структуры ЕГЭ и ориентирование в распределении баллов,744.0,Лексический анализ слова в тексте,820.0,,,,
15,Суффиксы существительных -ИНСТВ-/-ЕНСТВ-,29,Знаки препинания в ССП с общей частью,120.0,Обобщённо-личные предложения,225.0,Лексический разбор,320.0,Упрощение групп согласных (непроизносимый согласный),433.0,Нулевая суффиксация,518.0,,,,,Определительные местоимения как средство связи,821.0,,,,
16,Суффиксы существительных -УШК-/-ЫШК-/-ИШК-,30,Знаки препинания в СПП,126.0,Неопределённо личные предложения,226.0,Звукопись,321.0,Лексическое видоизменение фразеологизма,440.0,Постфиксация,519.0,,,,,Жанр текста,822.0,,,,
17,"Неизменяемые суффиксы существительных (-изн-, -ин-, -отн-, -овн-, -еств-, -ниц-, -овин-, -евин-, -ет-, -от-, -ест-, -ост-)",31,Знаки препинания в СПП с однородными придаточными,129.0,Безличные предложения,227.0,Нормативное образование и употребление форм причастий и деепричастий,329.0,,,Переход из одной части речи в другую,520.0,,,,,Типы речи,823.0,,,,
18,Суффиксы существительных -ЧИК-/ЩИК-,32,Пунктуация на стыке союзов,130.0,Неполные предложения. Элипсис,228.0,Нормативное образование и употребление имен числительных,336.0,,,Словообразовательный разбор слова,521.0,,,,,Морфологические признаки,824.0,,,,
19,Суффиксы существительных -ИЧ+К-/-ЕЧК-,33,Знаки препинания в предложениях с разными видами связи,131.0,Сложное предложение,230.0,Нормативное образование и употребление именительного падежа множественного числа существительных,337.0,,,Относительные местоимения,527.0,,,,,Лексические признаки,825.0,,,,
